,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,총 상주인구 수,상권_코드_명,아파트_단지_수,아파트_평균_면적,아파트_평균_시가
0,2020,2,U,관광특구,1001496,24.0,NaN,NaN,NaN,NaN
1,2020,2,U,관광특구,1001495,8221.0,잠실 관광특구,22.0,89.0,527347107.0
2,2020,2,U,관광특구,1001494,1924.0,종로?청계 관광특구,5.0,39.0,112097903.0
3,2020,2,U,관광특구,1001493,2427.0,동대문패션타운 관광특구,8.0,53.0,237967427.0
4,2020,2,U,관광특구,1001492,1104.0,NaN,NaN,NaN,NaN
5,2020,2,U,관광특구,1001491,5176.0,이태원 관광특구,71.0,82.0,409473123.0
6,2020,2,R,전통시장,1001490,3097.0,길동복조리시장,37.0,62.0,183067389.0
7,2020,2,R,전통시장,1001489,595.0,둔촌역전통시장,8.0,63.0,195748977.0
8,2020,2,R,전통시장,1001488,1023.0,성내골목시장,11.0,44.0,148468044.0
9,2020,2,R,전통시장,1001487,90.0,NaN,NaN,NaN,NaN
10,2020,2,R,전통시장,1001486,170.0,동서울시장,1.0,45.0,176000000.0
11,2020,2,R,전통시장,1001485,343.0,고분다리골목시장,2.0,46.0,156107143.0
12,2020,2,R,전통시장,1001484,842.0,양지골목시장,17.0,55.0,181813715.0
13,2020,2,R,전통시장,1001483,800.0,암사종합시장,18.0,46.0,143664435.0
14,2020,2,R,전통시장,1001482,288.0,고덕전통시장,1.0,41.0,155000000.0
15,2020,2,R,전통시장,1001481,1952.0,명일골목시장,4.0,61.0,223508784.0
16,2020,2,R,전통시장,1001480,2314.0,새마을시장,44.0,40.0,209797797.0
17,2020,2,R,전통시장,1001479,803.0,석촌시장,13.0,43.0,233575425.0
18,2020,2,R,전통시장,1001478,5119.0,방이시장,174.0,49.0,205632867.0
19,2020,2,R,전통시장,1001477,947.0,마천시장,6.0,57.0,195932239.0
20,2020,2,R,전통시장,1001476,2104.0,풍납시장,20.0,55.0,153329405.0
21,2020,2,R,전통시장,1001475,7.0,NaN,NaN,NaN,NaN
22,2020,2,R,전통시장,1001474,241.0,도곡시장,1.0,67.0,639223684.0
23,2020,2,R,전통시장,1001473,171.0,NaN,NaN,NaN,NaN
24,2020,2,R,전통시장,1001472,85.0,논현종합시장,3.0,115.0,512515152.0
25,2020,2,R,전통시장,1001471,1169.0,영동전통시장,18.0,43.0,226552606.0
26,2020,2,R,전통시장,1001470,260.0,강남시장_강남,1.0,95.0,359478723.0
27,2020,2,R,전통시장,1001469,104.0,양재시장,2.0,42.0,185226190.0
28,2020,2,R,전통시장,1001468,147.0,남부종합시장,3.0,53.0,299250000.0
29,2020,2,R,전통시장,1001467,79.0,NaN,NaN,NaN,NaN
30,2020,2,R,전통시장,1001466,627.0,미성동도깨비시장,3.0,66.0,179668193.0
31,2020,2,R,전통시장,1001465,52.0,NaN,NaN,NaN,NaN
32,2020,2,R,전통시장,1001464,162.0,NaN,NaN,NaN,NaN
33,2020,2,R,전통시장,1001463,62.0,신림중앙시장,3.0,42.0,184383476.0
34,2020,2,R,전통시장,1001462,574.0,강남골목시장,5.0,46.0,145078889.0
35,2020,2,R,전통시장,1001461,5.0,NaN,NaN,NaN,NaN
36,2020,2,R,전통시장,1001460,2203.0,관악신사시장,25.0,53.0,170190594.0
37,2020,2,R,전통시장,1001459,441.0,신원시장,4.0,50.0,164801389.0
38,2020,2,R,전통시장,1001458,1451.0,인헌시장,10.0,59.0,154501044.0
39,2020,2,R,전통시장,1001457,441.0,봉천중앙시장,4.0,51.0,177340278.0
40,2020,2,R,전통시장,1001456,15.0,NaN,NaN,NaN,NaN
41,2020,2,R,전통시장,1001455,101.0,NaN,NaN,NaN,NaN
42,2020,2,R,전통시장,1001454,496.0,봉천제일종합시장,2.0,30.0,168357143.0
43,2020,2,R,전통시장,1001453,568.0,낙성대시장,6.0,37.0,123503739.0
44,2020,2,R,전통시장,1001452,647.0,중부시장,4.0,51.0,187520635.0
45,2020,2,R,전통시장,1001451,8.0,NaN,NaN,NaN,NaN
46,2020,2,R,전통시장,1001450,536.0,남성역골목시장,4.0,57.0,178875000.0
47,2020,2,R,전통시장,1001449,572.0,남성사계시장,1.0,29.0,137875000.0
48,2020,2,R,전통시장,1001448,1009.0,흑석시장,2.0,92.0,416694996.0
49,2020,2,R,전통시장,1001447,1866.0,상도4동도깨비골목시장,17.0,54.0,155765640.0
50,2020,2,R,전통시장,1001446,177.0,성대시장,2.0,34.0,160357143.0
51,2020,2,R,전통시장,1001445,61.0,NaN,NaN,NaN,NaN
52,2020,2,R,전통시장,1001444,1602.0,상도전통시장,18.0,56.0,181107554.0
53,2020,2,R,전통시장,1001443,108.0,강남시장_동작,1.0,49.0,71085714.0
54,2020,2,R,전통시장,1001442,15.0,NaN,NaN,NaN,NaN
55,2020,2,R,전통시장,1001441,406.0,본동인정시장,1.0,86.0,525000000.0
56,2020,2,R,전통시장,1001440,638.0,노량진중앙시장,1.0,147.0,299142857.0
57,2020,2,R,전통시장,1001439,355.0,대림중앙시장,3.0,54.0,121966667.0
58,2020,2,R,전통시장,1001438,321.0,NaN,NaN,NaN,NaN
59,2020,2,R,전통시장,1001437,117.0,영진시장A동,1.0,88.0,585308360.0
60,2020,2,R,전통시장,1001436,86.0,NaN,NaN,NaN,NaN
61,2020,2,R,전통시장,1001433,673.0,영일시장,3.0,54.0,264567730.0
62,2020,2,R,전통시장,1001432,73.0,NaN,NaN,NaN,NaN
63,2020,2,R,전통시장,1001431,278.0,영등포청과시장,3.0,29.0,183000000.0
64,2020,2,R,전통시장,1001430,2354.0,영등포전통시장,4.0,65.0,154166369.0
65,2020,2,R,전통시장,1001429,439.0,은행나무시장,8.0,54.0,146750000.0
66,2020,2,R,전통시장,1001428,285.0,박미시장,3.0,59.0,148171296.0
67,2020,2,R,전통시장,1001427,2140.0,현대시장,18.0,47.0,133887709.0
68,2020,2,R,전통시장,1001426,10.0,NaN,NaN,NaN,NaN
69,2020,2,R,전통시장,1001425,43.0,푸른터시장,2.0,76.0,205074278.0
70,2020,2,R,전통시장,1001424,1563.0,남문시장,24.0,50.0,140069530.0
71,2020,2,R,전통시장,1001423,84.0,NaN,NaN,NaN,NaN
72,2020,2,R,전통시장,1001422,156.0,NaN,NaN,NaN,NaN
73,2020,2,R,전통시장,1001421,361.0,개봉중앙시장,14.0,54.0,133701577.0
74,2020,2,R,전통시장,1001420,618.0,고척근린시장,2.0,39.0,135912618.0
75,2020,2,R,전통시장,1001419,244.0,가리봉시장,2.0,267.0,817000000.0
76,2020,2,R,전통시장,1001418,631.0,남구로시장,11.0,48.0,93859848.0
77,2020,2,R,전통시장,1001417,126.0,구로시장,1.0,46.0,113555556.0
78,2020,2,R,전통시장,1001416,167.0,NaN,NaN,NaN,NaN
79,2020,2,R,전통시장,1001415,584.0,방신전통시장,2.0,63.0,239418555.0
80,2020,2,R,전통시장,1001414,614.0,송화골목시장,8.0,47.0,140120196.0
81,2020,2,R,전통시장,1001413,1108.0,까치산시장,29.0,48.0,133673421.0
82,2020,2,R,전통시장,1001412,338.0,화곡본동시장,12.0,50.0,120212126.0
83,2020,2,R,전통시장,1001411,1961.0,남부골목시장,28.0,52.0,143394086.0
84,2020,2,R,전통시장,1001409,976.0,화곡중앙골목시장,26.0,49.0,113747772.0
85,2020,2,R,전통시장,1001408,72.0,NaN,NaN,NaN,NaN
86,2020,2,R,전통시장,1001407,3.0,NaN,NaN,NaN,NaN
87,2020,2,R,전통시장,1001406,255.0,NaN,NaN,NaN,NaN
88,2020,2,R,전통시장,1001405,484.0,신정2동골목시장,4.0,50.0,207772556.0
89,2020,2,R,전통시장,1001404,182.0,NaN,NaN,NaN,NaN
90,2020,2,R,전통시장,1001403,142.0,신월7동골목시장,3.0,49.0,130690000.0
91,2020,2,R,전통시장,1001402,163.0,NaN,NaN,NaN,NaN
92,2020,2,R,전통시장,1001401,59.0,NaN,NaN,NaN,NaN
93,2020,2,R,전통시장,1001400,332.0,신월3동골목시장,1.0,35.0,61833333.0
94,2020,2,R,전통시장,1001399,364.0,경창시장,5.0,66.0,152726642.0
95,2020,2,R,전통시장,1001398,1581.0,월정로시장,24.0,51.0,109753584.0
96,2020,2,R,전통시장,1001397,1172.0,신영시장,13.0,52.0,115788199.0
97,2020,2,R,전통시장,1001396,1170.0,목4동시장,24.0,58.0,171280260.0
98,2020,2,R,전통시장,1001395,1215.0,목3동시장,13.0,49.0,185909130.0
99,2020,2,R,전통시장,1001394,1298.0,목2동시장,21.0,48.0,170220147.0
100,2020,2,R,전통시장,1001392,27.0,NaN,NaN,NaN,NaN
101,2020,2,R,전통시장,1001391,589.0,망원월드컵시장,24.0,48.0,173992934.0
102,2020,2,R,전통시장,1001390,1614.0,망원시장,50.0,51.0,194819930.0
103,2020,2,R,전통시장,1001389,71.0,합정시장,1.0,64.0,266275000.0
104,2020,2,R,전통시장,1001388,197.0,영진시장,3.0,57.0,228298958.0
105,2020,2,R,전통시장,1001387,17.0,NaN,NaN,NaN,NaN
106,2020,2,R,전통시장,1001386,45.0,신수시장,2.0,41.0,194535714.0
107,2020,2,R,전통시장,1001385,310.0,아현시장,3.0,59.0,211638889.0
108,2020,2,R,전통시장,1001384,7.0,NaN,NaN,NaN,NaN
109,2020,2,R,전통시장,1001383,10.0,NaN,NaN,NaN,NaN
110,2020,2,R,전통시장,1001382,143.0,백련시장,1.0,55.0,160031250.0
111,2020,2,R,전통시장,1001381,309.0,모래내시장,11.0,62.0,242563004.0
112,2020,2,R,전통시장,1001380,498.0,포방터시장,7.0,54.0,112071769.0
113,2020,2,R,전통시장,1001379,273.0,인왕시장,1.0,72.0,183325000.0
114,2020,2,R,전통시장,1001378,117.0,NaN,NaN,NaN,NaN
115,2020,2,R,전통시장,1001377,362.0,영천시장,3.0,35.0,112050794.0
116,2020,2,R,전통시장,1001376,108.0,NaN,NaN,NaN,NaN
117,2020,2,R,전통시장,1001375,156.0,증산종합시장,3.0,64.0,147498611.0
118,2020,2,R,전통시장,1001374,568.0,대림골목시장,8.0,48.0,124840625.0
119,2020,2,R,전통시장,1001373,198.0,신응암시장,2.0,50.0,205500000.0
120,2020,2,R,전통시장,1001372,20.0,NaN,NaN,NaN,NaN
121,2020,2,R,전통시장,1001371,500.0,대조시장,16.0,46.0,134893284.0
122,2020,2,R,전통시장,1001370,9.0,NaN,NaN,NaN,NaN
123,2020,2,R,전통시장,1001369,187.0,NaN,NaN,NaN,NaN
124,2020,2,R,전통시장,1001368,243.0,연서시장,1.0,100.0,316376812.0
125,2020,2,R,전통시장,1001367,1833.0,상계중앙시장,20.0,56.0,135646240.0
126,2020,2,R,전통시장,1001365,1498.0,공릉동도깨비시장,23.0,52.0,146987162.0
127,2020,2,R,전통시장,1001364,1035.0,방학동도깨비시장,11.0,47.0,91337973.0
128,2020,2,R,전통시장,1001363,728.0,쌍문역골목시장,6.0,55.0,121724537.0
129,2020,2,R,전통시장,1001362,379.0,백운시장,8.0,49.0,116112580.0
130,2020,2,R,전통시장,1001361,174.0,신도봉시장,3.0,42.0,73560714.0
131,2020,2,R,전통시장,1001360,1212.0,창동골목시장,8.0,46.0,119664583.0
132,2020,2,R,전통시장,1001359,2247.0,창동신창시장,47.0,52.0,136439056.0
133,2020,2,R,전통시장,1001358,58.0,수유북부시장,1.0,81.0,148000000.0
134,2020,2,R,전통시장,1001357,1482.0,장미원골목시장,40.0,49.0,138173425.0
135,2020,2,R,전통시장,1001356,42.0,수유중앙시장,2.0,55.0,108750000.0
136,2020,2,R,전통시장,1001355,764.0,강북종합시장,7.0,48.0,122968074.0
137,2020,2,R,전통시장,1001354,1607.0,우이시장,36.0,49.0,116487876.0
138,2020,2,R,전통시장,1001353,610.0,수유전통시장,3.0,61.0,157212176.0
139,2020,2,R,전통시장,1001352,1136.0,번동북부골목시장,8.0,56.0,169478765.0
140,2020,2,R,전통시장,1001351,145.0,NaN,NaN,NaN,NaN
141,2020,2,R,전통시장,1001350,235.0,숭인시장,2.0,41.0,155484375.0
142,2020,2,R,전통시장,1001349,1375.0,방천골목시장,4.0,44.0,141642045.0
143,2020,2,R,전통시장,1001348,26.0,NaN,NaN,NaN,NaN
144,2020,2,R,전통시장,1001347,1807.0,석관황금시장,5.0,45.0,155293333.0
145,2020,2,R,전통시장,1001346,157.0,NaN,NaN,NaN,NaN
146,2020,2,R,전통시장,1001345,73.0,새석관시장,1.0,37.0,22819512.0
147,2020,2,R,전통시장,1001344,22.0,NaN,NaN,NaN,NaN
148,2020,2,R,전통시장,1001343,853.0,장위전통시장,5.0,66.0,167111111.0
149,2020,2,R,전통시장,1001342,228.0,밤나무골시장,2.0,51.0,71711538.0
150,2020,2,R,전통시장,1001341,30.0,NaN,NaN,NaN,NaN
151,2020,2,R,전통시장,1001340,1409.0,정릉시장,30.0,51.0,155465885.0
152,2020,2,R,전통시장,1001339,1061.0,정릉아리랑시장,9.0,55.0,192902888.0
153,2020,2,R,전통시장,1001338,200.0,NaN,NaN,NaN,NaN
154,2020,2,R,전통시장,1001337,109.0,유영시장,2.0,60.0,180075000.0
155,2020,2,R,전통시장,1001336,2080.0,우림골목시장,19.0,54.0,130929772.0
156,2020,2,R,전통시장,1001335,1454.0,묵1동도깨비시장,17.0,48.0,130566556.0
157,2020,2,R,전통시장,1001334,934.0,태능시장,4.0,64.0,175721752.0
158,2020,2,R,전통시장,1001333,1850.0,중화제일시장,16.0,50.0,143519028.0
159,2020,2,R,전통시장,1001332,1871.0,사가정시장,11.0,53.0,163307651.0
160,2020,2,R,전통시장,1001331,1249.0,면목골목시장,15.0,73.0,148010317.0
161,2020,2,R,전통시장,1001330,2009.0,동원시장,21.0,51.0,142400772.0
162,2020,2,R,전통시장,1001329,1458.0,동부골목시장,20.0,37.0,131474045.0
163,2020,2,R,전통시장,1001328,75.0,이문제일시장,1.0,68.0,215833333.0
164,2020,2,R,전통시장,1001327,242.0,이경시장,2.0,63.0,202500000.0
165,2020,2,R,전통시장,1001326,1231.0,회기시장,6.0,39.0,132069521.0
166,2020,2,R,전통시장,1001325,59.0,NaN,NaN,NaN,NaN
167,2020,2,R,전통시장,1001324,228.0,전곡시장,4.0,62.0,201350000.0
168,2020,2,R,전통시장,1001323,442.0,답십리시장,2.0,59.0,139476190.0
169,2020,2,R,전통시장,1001321,295.0,NaN,NaN,NaN,NaN
170,2020,2,R,전통시장,1001320,93.0,NaN,NaN,NaN,NaN
171,2020,2,R,전통시장,1001319,93.0,NaN,NaN,NaN,NaN
172,2020,2,R,전통시장,1001318,166.0,NaN,NaN,NaN,NaN
173,2020,2,R,전통시장,1001317,171.0,청량리농수산물시장,2.0,56.0,201325000.0
174,2020,2,R,전통시장,1001316,2075.0,서울약령시장,3.0,41.0,146845455.0
175,2020,2,R,전통시장,1001315,3.0,NaN,NaN,NaN,NaN
176,2020,2,R,전통시장,1001314,9.0,NaN,NaN,NaN,NaN
177,2020,2,R,전통시장,1001313,454.0,청량리수산시장,1.0,39.0,176000000.0
178,2020,2,R,전통시장,1001312,23.0,NaN,NaN,NaN,NaN
179,2020,2,R,전통시장,1001310,140.0,구의시장,3.0,43.0,201400000.0
180,2020,2,R,전통시장,1001309,68.0,조양시장,3.0,19.0,93491841.0
181,2020,2,R,전통시장,1001308,893.0,영동교골목시장,9.0,56.0,209838921.0
182,2020,2,R,전통시장,1001307,352.0,NaN,NaN,NaN,NaN
183,2020,2,R,전통시장,1001306,168.0,노룬산골목시장,1.0,24.0,108000000.0
184,2020,2,R,전통시장,1001305,61.0,자양종합시장,1.0,63.0,256300000.0
185,2020,2,R,전통시장,1001304,1953.0,자양골목시장,35.0,48.0,183757675.0
186,2020,2,R,전통시장,1001303,88.0,신성골목시장,1.0,55.0,108000000.0
187,2020,2,R,전통시장,1001302,447.0,면곡골목시장,4.0,48.0,148435714.0
188,2020,2,R,전통시장,1001301,793.0,중곡제일시장,5.0,54.0,199593312.0
189,2020,2,R,전통시장,1001300,935.0,화양제일골목시장,9.0,30.0,114672531.0
190,2020,2,R,전통시장,1001299,17.0,NaN,NaN,NaN,NaN
191,2020,2,R,전통시장,1001298,1894.0,성동용답상가시장,11.0,63.0,152917659.0
192,2020,2,R,전통시장,1001297,576.0,뚝도시장,1.0,53.0,267217949.0
193,2020,2,R,전통시장,1001296,214.0,금남시장,1.0,58.0,222000000.0
194,2020,2,R,전통시장,1001295,1536.0,행당시장,1.0,59.0,149444444.0
195,2020,2,R,전통시장,1001294,320.0,마장축산물시장,2.0,98.0,401196800.0
196,2020,2,R,전통시장,1001293,4.0,NaN,NaN,NaN,NaN
197,2020,2,R,전통시장,1001292,42.0,이태원제일시장,2.0,58.0,230000000.0
198,2020,2,R,전통시장,1001291,65.0,NaN,NaN,NaN,NaN
199,2020,2,R,전통시장,1001290,101.0,이촌종합시장,4.0,75.0,284337500.0
200,2020,2,R,전통시장,1001289,396.0,용문전통시장,2.0,15.0,90254630.0
201,2020,2,R,전통시장,1001288,31.0,NaN,NaN,NaN,NaN
202,2020,2,R,전통시장,1001287,87.0,NaN,NaN,NaN,NaN
203,2020,2,R,전통시장,1001286,284.0,후암시장,2.0,56.0,210900862.0
204,2020,2,R,전통시장,1001285,90.0,NaN,NaN,NaN,NaN
205,2020,2,R,전통시장,1001284,994.0,서울중앙시장,1.0,44.0,119111111.0
206,2020,2,R,전통시장,1001283,818.0,백학시장,6.0,59.0,179247024.0
207,2020,2,R,전통시장,1001282,918.0,약수시장,15.0,59.0,173387878.0
208,2020,2,R,전통시장,1001281,1.0,NaN,NaN,NaN,NaN
209,2020,2,R,전통시장,1001279,56.0,동평화시장,1.0,65.0,151137931.0
210,2020,2,R,전통시장,1001277,290.0,방산종합시장,1.0,34.0,67500000.0
211,2020,2,R,전통시장,1001276,4.0,NaN,NaN,NaN,NaN
212,2020,2,R,전통시장,1001275,151.0,NaN,NaN,NaN,NaN
213,2020,2,R,전통시장,1001274,277.0,NaN,NaN,NaN,NaN
214,2020,2,R,전통시장,1001273,72.0,NaN,NaN,NaN,NaN
215,2020,2,R,전통시장,1001272,10.0,NaN,NaN,NaN,NaN
216,2020,2,R,전통시장,1001271,739.0,동묘시장,5.0,27.0,111891667.0
217,2020,2,R,전통시장,1001270,345.0,NaN,NaN,NaN,NaN
